[rosmaster.main][INFO] 2021-07-24 12:17:05,111: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-07-24 12:17:05,111: Starting ROS Master Node
[xmlrpc][INFO] 2021-07-24 12:17:05,112: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-07-24 12:17:05,112: Started XML-RPC server [http://feuuu:11311/]
[rosmaster.master][INFO] 2021-07-24 12:17:05,112: Master initialized: port[11311], uri[http://feuuu:11311/]
[xmlrpc][INFO] 2021-07-24 12:17:05,112: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-07-24 12:17:05,135: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,136: +PARAM [/roslaunch/uris/host_feuuu__40695] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,290: +PARAM [/markerConfigurations/1/offset] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,290: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kw_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,291: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kw_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,291: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/kd_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,291: +PARAM [/crazyswarm_teleop/timescale] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,291: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/i_range_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,291: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kp_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,291: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/kalman/pNAcc_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,291: +PARAM [/crazyswarm_server/firmwareParams/ring/solidGreen] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,292: +PARAM [/crazyswarm_server/optitrack_host_name] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,292: +SERVICE [/rosout/get_loggers] /rosout http://feuuu:37865/
[rosmaster.master][INFO] 2021-07-24 12:17:05,292: +PARAM [/crazyflieTypes/CF21SingleMarker/markerConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,292: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kd_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,293: +SERVICE [/rosout/set_logger_level] /rosout http://feuuu:37865/
