id,type,group,name
0,5,gyro,xRaw
1,5,gyro,yRaw
2,5,gyro,zRaw
3,7,gyro,xVariance
4,7,gyro,yVariance
5,7,gyro,zVariance
6,3,pwm,m1_pwm
7,3,pwm,m2_pwm
8,3,pwm,m3_pwm
9,3,pwm,m4_pwm
10,2,crtp,rxRate
11,2,crtp,txRate
12,7,pm,vbat
13,2,pm,vbatMV
14,7,pm,extVbat
15,2,pm,extVbatMV
16,7,pm,extCurr
17,7,pm,chargeCurrent
18,4,pm,state
19,1,pm,batteryLevel
20,1,radio,rssi
21,1,radio,isConnected
22,4,sys,canfly
23,1,sitAw,FFAccWZDetected
24,1,sitAw,ARDetected
25,1,sitAw,TuDetected
26,2,extrx,ch0
27,2,extrx,ch1
28,2,extrx,ch2
29,2,extrx,ch3
30,2,extrx,thrust
31,2,tdoa,stEst
32,7,extrx,pitch
33,7,extrx,yaw
34,3,memTst,errCntW
35,2,range,front
36,2,range,back
37,2,range,up
38,2,range,left
39,2,range,right
40,2,range,zrange
41,7,ext_pos,X
42,7,ext_pos,Y
43,7,ext_pos,Z
44,2,locSrvZ,tick
45,7,pid_attitude,roll_outP
46,7,pid_attitude,roll_outI
47,7,pid_attitude,roll_outD
48,7,pid_attitude,pitch_outP
49,7,pid_attitude,pitch_outI
50,7,pid_attitude,pitch_outD
51,7,pid_attitude,yaw_outP
52,7,pid_attitude,yaw_outI
53,7,pid_attitude,yaw_outD
54,7,pid_rate,roll_outP
55,7,pid_rate,roll_outI
56,7,pid_rate,roll_outD
57,7,pid_rate,pitch_outP
58,7,pid_rate,pitch_outI
59,7,pid_rate,pitch_outD
60,7,pid_rate,yaw_outP
61,7,pid_rate,yaw_outI
62,7,pid_rate,yaw_outD
63,7,sensfusion6,qw
64,7,sensfusion6,qx
65,7,sensfusion6,qy
66,7,sensfusion6,qz
67,7,sensfusion6,gravityX
68,7,sensfusion6,gravityY
69,7,sensfusion6,gravityZ
70,7,sensfusion6,accZbase
71,1,sensfusion6,isInit
72,1,sensfusion6,isCalibrated
73,7,acc,x
74,7,acc,y
75,7,acc,z
